Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  13:00:00,9.883773519565622,32465327.01406574,0.0,19.480169677691066,28.57848820028915,6.373893038678365,0.0,0.0,0.0,0.0,15.27066368819311,0.0,0.0,0.0,0.0,0.0,7869523.72807117,24435520.042940233,1.0,1.0,2.0 
 01/21  13:10:00,10.083613221853943,32361747.86098387,0.0,19.480169677691066,28.57848820028915,6.556007101393289,0.0,0.0,0.0,0.0,15.326714443725681,0.0,0.0,0.0,0.0,0.0,7896260.907308882,24314531.974643063,1.0,1.0,2.0 
 01/21  13:20:00,10.282773013002544,32258146.69879904,0.0,19.480169677691066,28.57848820028915,6.736273751474507,0.0,0.0,0.0,0.0,15.327135710188776,0.0,0.0,0.0,0.0,0.0,7922875.552815756,24183962.17030727,1.0,1.0,2.0 
 01/21  13:30:00,10.481707758005427,32154673.005979903,0.0,19.480169677691066,28.57848820028915,6.912536670709914,0.0,0.0,0.0,0.0,15.271467385217601,0.0,0.0,0.0,0.0,0.0,7949367.664591796,24053888.126779128,1.0,1.0,2.0 
 01/21  13:40:00,10.680502745657092,32051301.501721203,0.0,19.480169677691066,28.57848820028915,7.0788457213927085,0.0,0.0,0.0,0.0,15.149187073073893,0.0,0.0,0.0,0.0,0.0,7975737.242637001,23924085.036973916,1.0,1.0,2.0 
 01/21  13:50:00,10.879171930666764,31948019.57511226,0.0,19.480169677691066,28.57848820028915,7.231507531951203,0.0,0.0,0.0,0.0,14.940574199442421,0.0,0.0,0.0,0.0,0.0,8001984.286951372,23794501.743755378,1.0,1.0,2.0 
 01/21  14:00:00,11.07775775916925,31844804.98379462,0.0,19.480169677691066,28.57848820028915,7.37081185240119,0.0,0.0,0.0,0.0,14.648670743940661,0.0,0.0,0.0,0.0,0.0,8028108.797534912,23665131.40957229,1.0,1.0,2.0 
 01/21  14:10:00,11.34260773588895,31706533.01925599,0.0,19.480169677691066,28.57848820028915,7.491762955809996,0.0,0.0,0.0,0.0,14.353281035730628,0.0,0.0,0.0,0.0,0.0,8062750.870287226,23457870.94260428,1.0,1.0,2.0 
 01/21  14:20:00,11.605526504899323,31566506.792694278,0.0,19.480169677691066,28.57848820028915,7.63635093211151,0.0,0.0,0.0,0.0,13.972535371423238,0.0,0.0,0.0,0.0,0.0,8097175.1052958295,23282562.394619487,1.0,1.0,2.0 
 01/21  14:30:00,11.86935984229773,31425195.26893027,0.0,19.480169677691066,28.57848820028915,7.769368640005981,0.0,0.0,0.0,0.0,13.628580718146605,0.0,0.0,0.0,0.0,0.0,8131381.502560734,23107302.86790982,1.0,1.0,2.0 
