Date/Time,LIVING ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),LIVING ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),GARAGE ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Heating Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Air System Sensible Cooling Energy [J](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Heating Setpoint Temperature [C](TimeStep:REPORTSCH),ATTIC ZONE:Zone Thermostat Cooling Setpoint Temperature [C](TimeStep:REPORTSCH),ACDXCOIL 1:Cooling Coil Total Cooling Energy [J](TimeStep:REPORTSCH),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),SUPP HEATING COIL 1:Heating Coil Heating Energy [J](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Cycling Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Ratio [](TimeStep:REPORTSCH),TWOSPEED HEAT PUMP 1:Unitary System DX Coil Speed Level [](TimeStep:REPORTSCH) 
 01/21  06:30:00,23.366152947409,8531840.59744798,0.0,23.41,32.26,-0.4569707533198385,0.0,0.0,0.0,0.0,-0.9859190208945251,0.0,0.0,0.0,0.0,0.0,4817858.445250896,3576191.675323135,1.0,1.0,2.0 
 01/21  06:40:00,22.274648871201727,6421040.404585376,0.0,22.07666666666665,32.25999999999998,-0.4726442885370617,0.0,0.0,0.0,0.0,-1.0395023967668324,0.0,0.0,0.0,0.0,0.0,2718345.3660473293,3617607.0760687436,0.584039226745208,0.49999999999999967,1.1666666666666659 
 01/21  06:50:00,22.71249223036966,6377641.267352973,0.0,22.74333333333335,32.26000000000002,-0.4916171930546167,0.0,0.0,0.0,0.0,-1.1061345926430735,0.0,0.0,0.0,0.0,0.0,3622275.588419634,2670773.763691629,0.7718558841350974,0.6666666666666672,1.6666666666666679 
 01/21  07:00:00,22.952682826087603,7610250.532786529,0.0,23.41,32.26,-0.5169072638662905,0.0,0.0,0.0,0.0,-1.1921732413930042,0.0,0.0,0.0,0.0,0.0,4905284.591490484,3238137.2819561255,1.0,1.0,2.0 
 01/21  07:10:00,23.366629312364296,8237003.682266846,0.0,23.41,32.26,-0.5130429251769402,0.0,0.0,0.0,0.0,-1.250919936956593,0.0,0.0,0.0,0.0,0.0,4928905.342949433,3169100.7163610035,1.0,1.0,2.0 
 01/21  07:20:00,22.303015459014986,5887989.687774854,0.0,22.076666666666664,32.26,-0.47928999439559616,0.0,0.0,0.0,0.0,-1.2296659952500562,0.0,0.0,0.0,0.0,0.0,2680600.469936342,3112894.771650385,0.5573061521630803,0.5,1.1666666666666665 
 01/21  07:30:00,22.699660875733162,5611924.413829462,0.0,22.743333333333325,32.259999999999984,-0.42752489897845625,0.0,0.0,0.0,0.0,-1.1297000580932393,0.0,0.0,0.0,0.0,0.0,3470456.223393409,2117258.501102511,0.7096199719565583,0.6666666666666664,1.666666666666666 
 01/21  07:40:00,22.938372608263457,6704604.93794269,0.0,23.409999999999993,32.259999999999984,-0.34852362325563857,0.0,0.0,0.0,0.0,-0.9283723118229892,0.0,0.0,0.0,0.0,0.0,4995457.855040384,2257182.0050300956,0.9999999999999997,0.9999999999999997,1.9999999999999993 
 01/21  07:50:00,23.364933207348027,7593200.920961864,0.0,23.41,32.26,-0.26260189829784414,0.0,0.0,0.0,0.0,-0.6693425216901339,0.0,0.0,0.0,0.0,0.0,5027390.698813354,2430515.607208823,1.0,1.0,2.0 
 01/21  08:00:00,22.3366292680033,5225858.062789548,0.0,22.076666666666636,32.259999999999955,-0.16926366569912515,0.0,0.0,0.0,0.0,-0.3591798764347424,0.0,0.0,0.0,0.0,0.0,2448918.353693218,2687353.832162433,0.523517510981768,0.3790934885580426,1.166666666666665 
