Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
November,6308464480.840524,1664547124.9826486,856813079.2446603,4643917355.8578615,8635330035.643501,8635330035.643501,,,,,,,8
December,8027406814.72177,1755653047.3282938,895837616.9127984,6271753767.393466,10426635854.3234,10426635854.3234,63314365370.56435,19387252632.536938,10616400995.185692,43927112738.025154,67367386862.907875,67367386862.907875,8
July,113480628.01793064,62094342.50042097,39024537.66813607,51386285.51750968,0.0,0.0,113480628.01793064,62094342.50042097,39024537.66813607,51386285.51750968,0.0,0.0,8
January,8264617095.363645,1911616431.941255,991320033.6298822,6353000663.422397,14373716141.01457,14373716141.01457,,,,,,,9
February,6742907362.218392,1685366367.5407376,866623376.3384246,5057540994.6776495,11840297980.98346,11840297980.98346,,,,,,,9
March,6574114365.111874,1776887815.2689674,917017010.7010406,4797226549.842889,8572020150.486901,8572020150.486901,,,,,,,9
April,4002283115.8878984,1710941521.2175982,949754481.1993912,2291341594.6702886,3207436093.0560555,3207436093.0560555,,,,,,,9
May,3126557563.5061774,1693871047.4810057,991320033.6298822,1432686516.0251608,679361581.7772781,679361581.7772781,,,,,,,9
June,3146888706.6305723,1429084214.3280056,875451458.27055,1717804492.302566,24920595.80120642,24920595.80120642,,,,,,,9
July,4084498176.449136,1536095077.2901857,991320033.6298822,2548403099.1589365,0.0,0.0,,,,,,,9
August,3590405886.1121163,1505550534.0074768,954168522.165471,2084855352.1046376,2036605.1633481253,2036605.1633481253,,,,,,,9
September,2823805031.7160897,1510818577.697276,912602969.7349706,1312986454.018817,32676747.476007655,32676747.476007655,,,,,,,9
October,3250305390.0542164,1744227567.3424537,991320033.6298822,1506077822.711758,1539409495.298108,1539409495.298108,,,,,,,9
November,5502654053.614102,1714440643.7693198,912602969.734978,3788213409.844789,7072625294.753711,7072625294.753711,,,,,,,9
December,6856077890.703471,1807623294.0293696,954168522.1654617,5048454596.674087,9149841012.986774,9149841012.986774,57965114637.36745,20026523091.91099,11307669444.82424,37938591545.45422,56494341698.79791,56494341698.79791,9
July,122840373.73208316,64778922.3988334,41565552.43049457,58061451.33324982,0.0,0.0,122840373.73208316,64778922.3988334,41565552.43049457,58061451.33324982,0.0,0.0,9
January,8703721796.317667,1854883320.4403136,962307275.1919248,6848838475.877396,15597059469.563808,15597059469.563808,,,,,,,10
February,7129369230.218689,1636353868.7296495,841260089.1844795,5493015361.489041,12820096002.655396,12820096002.655396,,,,,,,10
March,7006023420.693714,1725735065.4963691,890178863.4706748,5280288355.197335,9445884239.62619,9445884239.62619,,,,,,,10
April,4269524161.068088,1654306501.0449526,921958213.189444,2615217660.023137,3668081658.546925,3668081658.546925,,,,,,,10
May,3243161773.496487,1627339233.673951,962307275.1919248,1615822539.8225565,851541448.8227634,851541448.8227634,,,,,,,10
June,3148707582.3466487,1367707853.2607017,849829801.4681945,1780999729.085971,36814124.24946656,36814124.24946656,,,,,,,10
July,4024213254.248176,1463708790.098471,962307275.1919248,2560504464.149759,0.0,0.0,,,,,,,10
August,3558328601.7599707,1436034994.6802416,926243069.3313012,2122293607.0797749,11509483.649380907,11509483.649380907,,,,,,,10
September,2852896503.56832,1447683005.8503685,885894007.3288193,1405213497.7179518,62785529.08831385,62785529.08831385,,,,,,,10
October,3405282030.71557,1682705354.5606391,962307275.1919248,1722576676.1549356,1923648717.4184628,1923648717.4184628,,,,,,,10
November,5905056020.86177,1662595456.9022555,885894007.3288176,4242460563.959515,7827454649.905304,7827454649.905304,,,,,,,10
December,7387873037.153533,1753714477.4729092,926243069.3313004,5634158559.680632,9678696129.726862,9678696129.726862,60634157412.44807,19312767922.210545,10976730221.395124,41321389490.23818,61923571453.25287,61923571453.25287,10
July,120084506.6836905,61793338.20912285,40349062.00248151,58291168.47456767,0.0,0.0,120084506.6836905,61793338.20912285,40349062.00248151,58291168.47456767,0.0,0.0,10
