Date/Time,Electricity:Facility [J](Monthly),Electricity:Building [J](Monthly),InteriorLights:Electricity [J](Monthly),Electricity:HVAC [J](Monthly),NaturalGas:Facility [J](Monthly),NaturalGas:HVAC [J](Monthly),Electricity:Facility [J](RunPeriod),Electricity:Building [J](RunPeriod),InteriorLights:Electricity [J](RunPeriod),Electricity:HVAC [J](RunPeriod),NaturalGas:Facility [J](RunPeriod),NaturalGas:HVAC [J](RunPeriod) ,Simulation_ID
October,3284874430.600908,1683368374.2567365,911566818.2981774,1601506056.3441875,1332229626.5269136,1332229626.5269136,,,,,,,41
November,5514949503.729251,1761307253.9800794,907349855.3762118,3753642249.749155,5905323675.881694,5905323675.881694,,,,,,,41
December,6739455731.631055,1744634203.02097,876074047.0383023,4994821528.610075,7515927310.161977,7515927310.161977,57859510432.248856,19917370872.790157,10767311994.085152,37942139559.45534,46904269849.58336,46904269849.58336,41
January,7393974513.395693,1804392157.2211416,885091959.3934726,5589582356.174513,13837959486.538116,13837959486.538116,,,,,,,46
February,6042076894.918479,1637952209.2048938,803884601.5154451,4404124685.713583,11347684104.52669,11347684104.52669,,,,,,,46
March,5920609582.397002,1832845436.9203804,919553905.383746,4087764145.476628,8277643687.600594,8277643687.600594,,,,,,,46
April,3774592346.3229713,1543625823.5991762,812073578.7804451,2230966522.723776,3063984967.223536,3063984967.223536,,,,,,,46
May,3311614534.462195,1614405939.441716,919553905.3837328,1697208595.0204763,608479851.9220521,608479851.9220521,,,,,,,46
June,3564283779.2806454,1446954502.0617523,880997470.760979,2117329277.218876,24862079.27662763,24862079.27662763,,,,,,,46
July,4171140336.377259,1324249339.6467004,850630013.4032121,2846890996.730501,0.0,0.0,,,,,,,46
August,3900279459.056873,1449733196.671219,919553905.3837328,2450546262.3856115,3672730.04000196,3672730.04000196,,,,,,,46
September,3109299033.2488503,1425277887.63623,846535524.7707133,1684021145.612618,39477754.36641634,39477754.36641634,,,,,,,46
October,3256745013.8417816,1624589139.0423565,885091959.3934726,1632155874.79943,1489817873.5901723,1489817873.5901723,,,,,,,46
November,5059209072.530266,1717029635.424787,880997470.760979,3342179437.1054826,6569380028.749023,6569380028.749023,,,,,,,46
December,6098130511.732013,1702044164.9802382,850630013.403213,4396086346.7517805,8731299249.747185,8731299249.747185,55601955077.56491,19123099431.85173,10454594308.3443,36478855645.713234,53994261813.580574,53994261813.580574,46
January,8150330787.741335,1829605137.0075824,931783408.7754992,6320725650.73374,15401747003.191051,15401747003.191051,,,,,,,48
February,6748993927.88317,1660650634.7630177,846292101.4167591,5088343293.120158,12578932669.754845,12578932669.754845,,,,,,,48
March,6735365090.76914,1858305828.4839828,968063333.3268982,4877059262.285151,9098911041.266985,9098911041.266985,,,,,,,48
April,4114768649.598264,1574508588.6246965,854913073.5873877,2540260060.973576,3777169232.134367,3777169232.134367,,,,,,,48
May,3346710811.8337674,1653225907.6438804,968063333.326898,1693484904.189873,808650787.4547172,808650787.4547172,,,,,,,48
June,3444781762.1415715,1495606766.5149474,927472922.690168,1949174995.6266036,42142361.90699742,42142361.90699742,,,,,,,48
